sku	price	fulfillment-channel
10973	24.08	amazon
14110	35	amazon
14486	48.16	amazon
14430	46	amazon
15124	25.8	amazon
15682	89.44	amazon
15706	73.96	amazon
15720	64	amazon
16018	74.82	amazon
16116	172	amazon
15962	10.32	amazon
16117	172	amazon
16429	25	amazon
16453	50	amazon
16452	172	amazon
16260	80	amazon
16454	129	amazon
16271	45	amazon
16606	86	amazon
16555	129	amazon
16618	30	amazon
16814	129.86	amazon
16879	116.1	amazon
16901	41.28	amazon
16700	330	amazon
16928	111	amazon
16728	89.44	amazon
16803	190	amazon
16851	36.98	amazon
16951	106	amazon
17149	193.5	amazon
17118	54	amazon
17003	88	amazon
17105	79.98	amazon
17115	65.36	amazon
17151	28.38	amazon
17292	34.4	amazon
17340	25	amazon
17279	37	amazon
17293	50	amazon
17253	137.6	amazon
17631	25	amazon
17515	25.8	amazon
17700	131.58	amazon
17745	44.72	amazon
17546	23.22	amazon
17856	105.78	amazon
17945	99.76	amazon
17956	19.78	amazon
17924	225.32	amazon
17984	34.4	amazon
17831	94.6	amazon
17937	129.86	amazon
17857	219.3	amazon
17847	160	amazon
17851	58.48	amazon
18118	30	amazon
18260	172	amazon
18124	94.6	amazon
18234	77.4	amazon
18233	77.4	amazon
18200	130	amazon
18483	258	amazon
18303	80	amazon
18357	60	amazon
18499	430	amazon
18642	60.2	amazon
18801	60.2	amazon
18831	40.42	amazon
18659	66	amazon
18734	49.88	amazon
18963	68.8	amazon
19042	129	amazon
19033	129	amazon
18941	86	amazon
19029	34.4	amazon
19053	170	amazon
19024	129	amazon
19017	150	amazon
19255	39.56	amazon
19098	189.2	amazon
19120	223.6	amazon
19101	280	amazon
19208	35	amazon
19195	206.4	amazon
19160	54.18	amazon
19190	68.8	amazon
19184	49.88	amazon
19293	35	amazon
19199	79.98	amazon
19247	178.88	amazon
19087	180	amazon
19450	154.8	amazon
19331	67	amazon
19418	104	amazon
19457	154.8	amazon
19495	100	amazon
19493	49.88	amazon
19442	199.52	amazon
19348	232	amazon
19447	189.2	amazon
19417	89.44	amazon
19440	199.52	amazon
19448	220	amazon
19439	232	amazon
19454	154.8	amazon
19451	154.8	amazon
19427	86	amazon
19458	260	amazon
19415	104	amazon
19436	310.46	amazon
19431	206.4	amazon
19791	1200	amazon
19649	54	amazon
19552	120.4	amazon
19580	45.58	amazon
19806	275	amazon
19553	140	amazon
19811	170	amazon
19521	79.98	amazon
19550	140	amazon
19548	120.4	amazon
19587	75	amazon
19623	260	amazon
19542	140	amazon
19661	58	amazon
19645	45	amazon
19972	31.82	amazon
19978	42	amazon
19876	425	amazon
19826	100	amazon
19966	39.56	amazon
19979	30.1	amazon
19866	242.52	amazon
19886	63	amazon
19873	427	amazon
19891	86	amazon
19896	61	amazon
19867	242.52	amazon
19911	141	amazon
20001	79.98	amazon
19998	99	amazon
19990	78	amazon
20059	24.94	amazon
20159	98.9	amazon
20204	86	amazon
20018	99.76	amazon
20121	227.04	amazon
20071	150	amazon
20166	39	amazon
20133	49.02	amazon
20147	55	amazon
20011	208	amazon
20103	235	amazon
20089	138	amazon
20122	125	amazon
20131	232	amazon
20211	94.6	amazon
20023	37	amazon
20086	171	amazon
20098	210	amazon
20013	145	amazon
20096	237.44	amazon
20124	44.8	amazon
20171	81.7	amazon
20075	41.28	amazon
20072	76	amazon
20132	199.52	amazon
20322	45	amazon
20224	57	amazon
20281	129	amazon
20257	103.2	amazon
20271	40	amazon
20386	516	amazon
20307	140	amazon
20380	70	amazon
20293	30.1	amazon
20259	51.6	amazon
20407	200	amazon
20411	65	amazon
20326	301	amazon
20274	300	amazon
20242	232.2	amazon
20412	168	amazon
20479	27	amazon
20564	83.42	amazon
20454	146.2	amazon
20470	89.44	amazon
20641	440	amazon
20484	58.24	amazon
20472	104	amazon
20599	42.14	amazon
20465	140	amazon
20637	70	amazon
20610	29	amazon
20581	987.28	amazon
20575	356	amazon
20579	264.02	amazon
20603	54	amazon
20453	387	amazon
20602	54	amazon
20626	70	amazon
20582	97	amazon
20707	232	amazon
20703	255	amazon
20728	137.6	amazon
20884	258	amazon
20711	151	amazon
20861	140	amazon
20750	53	amazon
20691	162	amazon
20692	139.32	amazon
20842	75	amazon
20821	312	amazon
20680	53.76	amazon
20762	180	amazon
20719	29	amazon
20828	50	amazon
20830	600	amazon
20706	199.52	amazon
20744	103.2	amazon
20738	35	amazon
20755	83	amazon
21173	29.24	amazon
21075	70	amazon
21081	21.5	amazon
20916	70	amazon
21153	236.5	amazon
21068	130	amazon
21070	70.56	amazon
20951	318.2	amazon
21170	154.8	amazon
20968	64.96	amazon
20925	154.8	amazon
20977	50	amazon
21073	44.8	amazon
20978	68.8	amazon
21067	240	amazon
21174	104	amazon
21094	51.6	amazon
21163	500	amazon
20952	516	amazon
21112	100	amazon
21162	129	amazon
21103	200	amazon
20937	700	amazon
20948	50	amazon
20920	120.4	amazon
20942	60	amazon
20915	62	amazon
21143	35	amazon
21053	67.2	amazon
21233	110.88	amazon
21266	51.52	amazon
21283	87.36	amazon
21219	123.84	amazon
21320	52	amazon
21318	93	amazon
21289	79.52	amazon
21214	71	amazon
21229	52	amazon
21246	130	amazon
21290	149.64	amazon
21280	58	amazon
21276	35.84	amazon
21309	98	amazon
21279	79.98	amazon
21296	97	amazon
21237	63.84	amazon
21295	83.42	amazon
21256	64.96	amazon
21260	78.26	amazon
21310	53.76	amazon
21297	86	amazon
21249	230.72	amazon
21232	110.88	amazon
21259	58	amazon
21317	112	amazon
21218	46	amazon
21198	129	amazon
21294	66	amazon
21275	35	amazon
21182	55.04	amazon
21257	64.96	amazon
21258	58	amazon
21277	31.82	amazon
21335	79.12	amazon
21248	234.08	amazon
21262	104	amazon
21284	84	amazon
21422	75	amazon
21447	84	amazon
21559	127	amazon
21394	156	amazon
21446	75	amazon
21565	128	amazon
21574	68.8	amazon
21579	450	amazon
21385	60	amazon
21411	65	amazon
21344	94.08	amazon
21563	61.6	amazon
21338	54	amazon
21352	89	amazon
21355	33.6	amazon
21387	155.68	amazon
21513	72.8	amazon
21337	237.44	amazon
21400	85	amazon
21435	161.28	amazon
21376	101	amazon
21484	73.1	amazon
21584	108.64	amazon
21445	64.5	amazon
21415	90	amazon
21500	97.44	amazon
21562	47.3	amazon
21417	67	amazon
21412	100	amazon
21495	784	amazon
21425	68.8	amazon
21341	25.76	amazon
21374	826.56	amazon
21560	169	amazon
21827	70	amazon
21614	179.2	amazon
21645	128.8	amazon
21737	75	amazon
21795	784	amazon
21806	60	amazon
21854	187	amazon
21613	100	amazon
21847	40	amazon
21658	65	amazon
21608	481.6	amazon
21832	140	amazon
21595	120	amazon
21672	275	amazon
21840	190.4	amazon
21836	123.2	amazon
21831	112	amazon
21739	60.2	amazon
21773	100	amazon
21802	30	amazon
21794	172	amazon
21612	252	amazon
21762	70	amazon
21638	49.88	amazon
21639	84	amazon
21632	67.2	amazon
21625	120	amazon
21726	112	amazon
21730	89.6	amazon
21647	60	amazon
21592	65.36	amazon
21597	30	amazon
21650	28	amazon
21655	150	amazon
21744	50	amazon
21783	25.8	amazon
21805	30.1	amazon
21642	78.4	amazon
21727	84	amazon
21654	95.2	amazon
21729	120	amazon
21743	336	amazon
21784	336	amazon
21772	70	amazon
21866	83	amazon
21857	70	amazon
819	182.32	amazon
