seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
10011	X001CJ2Z89	B00XBRYCHG	UsedGood	SELLABLE	0
10123	X001CRRRV1	B0173EML5C	UsedAcceptable	SELLABLE	0
10122	X001CRISIR	B000GHIVO4	UsedAcceptable	SELLABLE	0
10067	X001CLS60D	B00EPH63K0	UsedAcceptable	SELLABLE	0
0W-FN0W-F2LI	X001JJ168H	0981454224	UsedAcceptable	SELLABLE	0
10016	X001CJ7N0T	B00092ZVXA	UsedAcceptable	SELLABLE	0
10101	X001CJ29G7	B003Z7O62I	UsedGood	SELLABLE	0
0E-EMMP-OZQI	X000Y7QI9H	B00O9FO1HK	UsedGood	SELLABLE	0
10019	X001CJ7N13	B008C9UFDI	UsedAcceptable	SELLABLE	0
10116	X001CVV19L	B009OZ62IG	UsedVeryGood	SELLABLE	0
10001	X001CP7JTN	B00VGGVQCI	UsedAcceptable	SELLABLE	0
10128	X001CS0D9N	B000BKXE02	UsedGood	SELLABLE	0
10114	X001CQER01	B00IO9PBPS	UsedAcceptable	SELLABLE	0
10061	X001CP2PNN	B000M5XMA8	UsedAcceptable	SELLABLE	0
1000	X0012T0OPP	B000BQMWMM	UsedGood	SELLABLE	0
10012	X001CETR53	B001L7OIVI	UsedAcceptable	SELLABLE	0
10082	X001CL77LH	B0044XDA3S	UsedGood	SELLABLE	0
10104	X001CM47D7	B01GQJNDA2	UsedAcceptable	SELLABLE	0
10072	X001CKOH1V	B00WBJGUA2	UsedGood	SELLABLE	0
0L-ZMNI-S84L	X000YK4PNP	B005W1CE4W	UsedGood	SELLABLE	0
0S-9819-VHBH	X000Z9FCY1	B00KYWL34Q	UsedGood	SELLABLE	0
10031	X001CKNV09	B01KKCI9GE	UsedAcceptable	SELLABLE	0
07-WX7Z-LRZ4	X000YA3BJ9	B00EQC4WRU	UsedGood	SELLABLE	0
10044	X001CJXNPD	B006LXOJC0	UsedGood	SELLABLE	0
10125	X001CQB73V	B01FN0XFHQ	UsedGood	SELLABLE	0
0B-WQIB-5DVM	X000Y9K30F	B00CPGMUXW	UsedGood	SELLABLE	0
0I-XW6J-8MUH	X001JISUO1	0615891128	UsedGood	SELLABLE	0
10023	X001CJ6NBT	B0009K8SJ6	UsedAcceptable	SELLABLE	0
10131	X001CPESFV	B00JOC8L24	UsedAcceptable	SELLABLE	0
10075	X001CKE595	B0052EK78O	UsedGood	SELLABLE	0
10039	X001CLREL5	B0044XDA3S	UsedGood	SELLABLE	0
10098	X001COZ4WD	B006LXOJC0	UsedAcceptable	SELLABLE	0
10087	X001CKOOWN	B00I4DLJMS	UsedAcceptable	SELLABLE	0
0L-IKGB-SAHR	X00101JM5D	B002SQZXWY	UsedGood	SELLABLE	0
10112	X001CPZSF5	B018NIEPKG	UsedGood	SELLABLE	0
10028	X001CJ6NCN	B0160R1MO4	UsedAcceptable	SELLABLE	0
10021	X001CJ8XAD	B00AQ9NIO0	UsedAcceptable	SELLABLE	0
10113	X001CKDTQF	B00AQ9NIO0	UsedAcceptable	SELLABLE	0
10084	X001CJ1ZAX	B000NIG2FG	UsedGood	SELLABLE	0
0B-7MDO-5EAQ	X000YJTQWV	B0126C99PQ	UsedGood	SELLABLE	0
10027	X001CJ6I0Z	B001G8FW1M	UsedAcceptable	SELLABLE	0
10111	X001CJ6I19	B014LSPYY8	UsedAcceptable	SELLABLE	0
10035	X001CJ6NCD	B004VV8GOQ	UsedGood	SELLABLE	0
00-C1QA-IKK2	X000YLIV07	B00RBMASLQ	UsedGood	SELLABLE	0
10135	X001CQDL5D	B00VV4ZWBQ	UsedGood	SELLABLE	0
10018	X001CJ8XA3	B000050AQ5	UsedGood	SELLABLE	0
10096	X001CKECLB	B006LXOJC0	UsedAcceptable	SELLABLE	0
10062	X001CJ64GX	B01GVGXGT8	UsedGood	SELLABLE	0
10109	X001CD84LR	B018UQ5AMS	UsedGood	SELLABLE	0
10060	X001CJ64H7	B00ESAR0JW	UsedAcceptable	SELLABLE	0
07-WKSV-LSFH	X000YLISC3	B00JPINIOS	UsedGood	SELLABLE	0
0Z-R8C9-YOJ4	X001JIHMMR	0544568036	UsedAcceptable	SELLABLE	0
0P-G3UJ-BUQ2	X001JIMZ4H	0152163964	UsedAcceptable	SELLABLE	0
10032	X001CEAIXX	B0000DF0RB	UsedGood	SELLABLE	0
10089	X001CPVM2D	B004S6HR1M	UsedAcceptable	SELLABLE	0
0Z-3DL6-YOJ7	X001JISQQN	0739054929	UsedAcceptable	SELLABLE	0
10046	X001CJ5Y0P	B00AN9UJ68	UsedGood	SELLABLE	0
10036	X001CKW87V	B01M0AGJIQ	UsedAcceptable	SELLABLE	0
10110	X001CE61B1	B018UQ5AMS	UsedGood	SELLABLE	0
10077	X001CJXNTJ	B00713SAQA	UsedAcceptable	SELLABLE	0
10108	X001CJ8VRN	B00C6MWPNK	UsedAcceptable	SELLABLE	0
04-OMAH-26M4	X000YNECKD	B000H0Y5XQ	UsedGood	SELLABLE	0
10045	X001CMOH0P	B00AZBIXHG	UsedAcceptable	SELLABLE	0
10074	X001CJ64NV	B0052EK78O	UsedGood	SELLABLE	0
10066	X001CKEINN	B00FDZA8CW	UsedAcceptable	SELLABLE	0
10040	X001CKDTOH	B00BOU9T5M	UsedAcceptable	SELLABLE	0
0B-KBYF-5FNF	X000ZCIZM9	B005GK3IVW	UsedGood	SELLABLE	0
10090	X001CMOH0Z	B0001DJT7G	UsedGood	SELLABLE	0
0E-Q2FQ-OZT7	X000Y9JLZ3	B004QRKWLA	UsedGood	SELLABLE	0
10118	X001CQBZ51	B00G00BTEA	UsedAcceptable	SELLABLE	0
10079	X001CL7ICF	B00VNMKV6C	UsedGood	SELLABLE	0
10130	X001CW12K3	B000MDHH06	UsedAcceptable	SELLABLE	0
10069	X001CCTJT9	B015PE66T4	UsedGood	SELLABLE	0
10081	X001CKW85X	B0044XDA3S	UsedGood	SELLABLE	0
10038	X001CKNUZP	B018UQ57KI	UsedGood	SELLABLE	0
10119	X001CP1RTL	B005I72LMU	UsedAcceptable	SELLABLE	0
10009	X001CK4C2Z	B0083I7Q5I	UsedAcceptable	SELLABLE	0
10055	X001CM4FVL	B00O0UMUEA	UsedAcceptable	SELLABLE	0
10030	X001CJY4TH	B01DEWZUG4	UsedGood	SELLABLE	0
10003	X001CJXNRL	B00KVN8CLA	UsedAcceptable	SELLABLE	0
0S-CCUL-VFK3	X000Y9JO7X	B00OP5SAAI	UsedGood	SELLABLE	0
0Z-YFP8-YP75	X000ZA5XTT	B0000AR7SY	UsedGood	SELLABLE	0
10007	X001CLS397	B00004RC6S	UsedAcceptable	SELLABLE	0
04-NR2Q-27TH	X000ZDPXNH	B00AZY3TFE	UsedAcceptable	SELLABLE	0
10058	X001CFZI4B	B005F55EUQ	UsedAcceptable	SELLABLE	0
10076	X001CIOQEV	B00375MLSY	UsedGood	SELLABLE	0
04-VBTM-25SS	X000Y42V41	B0067MQM48	UsedGood	SELLABLE	0
10064	X001CP7TED	B0091YYUAM	UsedGood	SELLABLE	0
10097	X001CP0X1J	B006LXOJC0	UsedGood	SELLABLE	0
10041	X001COWW87	B0091YYUAM	UsedGood	SELLABLE	0
10099	X001CPVM23	B00LU2HZMS	UsedGood	SELLABLE	0
10017	X001CCTTI5	B01I5YCHNA	UsedGood	SELLABLE	0
04-Z4XQ-2602	X000Y9JQE9	B00KY35W3I	UsedGood	SELLABLE	0
10015	X001CCTTHV	B000E3ZF76	UsedGood	SELLABLE	0
10095	X001CJXNRB	B006LXOJC0	UsedAcceptable	SELLABLE	0
